city,country,date.utc,location,parameter,value,unit
Paris,FR,2019-06-21 00:00:00+00:00,FR04014,no2,20.0,µg/m³
Paris,FR,2019-06-20 23:00:00+00:00,FR04014,no2,21.8,µg/m³
Paris,FR,2019-06-20 22:00:00+00:00,FR04014,no2,26.5,µg/m³
Paris,FR,2019-06-20 21:00:00+00:00,FR04014,no2,24.9,µg/m³
Paris,FR,2019-06-20 20:00:00+00:00,FR04014,no2,21.4,µg/m³
Paris,FR,2019-06-20 19:00:00+00:00,FR04014,no2,25.3,µg/m³
Paris,FR,2019-06-20 18:00:00+00:00,FR04014,no2,23.9,µg/m³
Paris,FR,2019-06-20 17:00:00+00:00,FR04014,no2,23.2,µg/m³
Paris,FR,2019-06-20 16:00:00+00:00,FR04014,no2,19.0,µg/m³
Paris,FR,2019-06-20 15:00:00+00:00,FR04014,no2,19.3,µg/m³
Paris,FR,2019-06-20 14:00:00+00:00,FR04014,no2,20.1,µg/m³
Paris,FR,2019-06-20 13:00:00+00:00,FR04014,no2,19.4,µg/m³
Paris,FR,2019-06-19 10:00:00+00:00,FR04014,no2,26.6,µg/m³
Paris,FR,2019-06-19 09:00:00+00:00,FR04014,no2,27.3,µg/m³
Paris,FR,2019-06-18 22:00:00+00:00,FR04014,no2,39.3,µg/m³
Paris,FR,2019-06-18 21:00:00+00:00,FR04014,no2,23.1,µg/m³
Paris,FR,2019-06-18 20:00:00+00:00,FR04014,no2,17.0,µg/m³
Paris,FR,2019-06-18 19:00:00+00:00,FR04014,no2,15.3,µg/m³
Paris,FR,2019-06-18 08:00:00+00:00,FR04014,no2,49.6,µg/m³
Paris,FR,2019-06-18 07:00:00+00:00,FR04014,no2,52.6,µg/m³
Paris,FR,2019-06-18 06:00:00+00:00,FR04014,no2,51.4,µg/m³
Paris,FR,2019-06-18 05:00:00+00:00,FR04014,no2,33.8,µg/m³
Paris,FR,2019-06-18 04:00:00+00:00,FR04014,no2,26.5,µg/m³
Paris,FR,2019-06-18 03:00:00+00:00,FR04014,no2,45.5,µg/m³
Paris,FR,2019-06-18 02:00:00+00:00,FR04014,no2,39.8,µg/m³
Paris,FR,2019-06-18 01:00:00+00:00,FR04014,no2,60.1,µg/m³
Paris,FR,2019-06-18 00:00:00+00:00,FR04014,no2,66.2,µg/m³
Paris,FR,2019-06-17 23:00:00+00:00,FR04014,no2,73.3,µg/m³
Paris,FR,2019-06-17 22:00:00+00:00,FR04014,no2,51.0,µg/m³
Paris,FR,2019-06-17 21:00:00+00:00,FR04014,no2,38.3,µg/m³
Paris,FR,2019-06-17 20:00:00+00:00,FR04014,no2,20.5,µg/m³
Paris,FR,2019-06-17 19:00:00+00:00,FR04014,no2,15.2,µg/m³
Paris,FR,2019-06-17 18:00:00+00:00,FR04014,no2,15.4,µg/m³
Paris,FR,2019-06-17 17:00:00+00:00,FR04014,no2,14.9,µg/m³
Paris,FR,2019-06-17 16:00:00+00:00,FR04014,no2,11.9,µg/m³
Paris,FR,2019-06-17 15:00:00+00:00,FR04014,no2,13.1,µg/m³
Paris,FR,2019-06-17 14:00:00+00:00,FR04014,no2,11.5,µg/m³
Paris,FR,2019-06-17 13:00:00+00:00,FR04014,no2,9.6,µg/m³
Paris,FR,2019-06-17 12:00:00+00:00,FR04014,no2,10.1,µg/m³
Paris,FR,2019-06-17 11:00:00+00:00,FR04014,no2,15.2,µg/m³
Paris,FR,2019-06-17 10:00:00+00:00,FR04014,no2,16.0,µg/m³
Paris,FR,2019-06-17 09:00:00+00:00,FR04014,no2,30.4,µg/m³
Paris,FR,2019-06-17 08:00:00+00:00,FR04014,no2,51.6,µg/m³
Paris,FR,2019-06-17 07:00:00+00:00,FR04014,no2,54.4,µg/m³
Paris,FR,2019-06-17 06:00:00+00:00,FR04014,no2,52.3,µg/m³
Paris,FR,2019-06-17 05:00:00+00:00,FR04014,no2,44.8,µg/m³
Paris,FR,2019-06-17 04:00:00+00:00,FR04014,no2,45.7,µg/m³
Paris,FR,2019-06-17 03:00:00+00:00,FR04014,no2,49.1,µg/m³
Paris,FR,2019-06-17 02:00:00+00:00,FR04014,no2,53.1,µg/m³
Paris,FR,2019-06-17 01:00:00+00:00,FR04014,no2,58.8,µg/m³
Paris,FR,2019-06-17 00:00:00+00:00,FR04014,no2,69.3,µg/m³
Paris,FR,2019-06-16 23:00:00+00:00,FR04014,no2,67.3,µg/m³
Paris,FR,2019-06-16 22:00:00+00:00,FR04014,no2,56.6,µg/m³
Paris,FR,2019-06-16 21:00:00+00:00,FR04014,no2,42.7,µg/m³
Paris,FR,2019-06-16 20:00:00+00:00,FR04014,no2,23.3,µg/m³
Paris,FR,2019-06-16 19:00:00+00:00,FR04014,no2,14.4,µg/m³
Paris,FR,2019-06-16 18:00:00+00:00,FR04014,no2,12.3,µg/m³
Paris,FR,2019-06-16 17:00:00+00:00,FR04014,no2,11.8,µg/m³
Paris,FR,2019-06-16 16:00:00+00:00,FR04014,no2,9.2,µg/m³
Paris,FR,2019-06-16 15:00:00+00:00,FR04014,no2,8.4,µg/m³
Paris,FR,2019-06-16 14:00:00+00:00,FR04014,no2,8.1,µg/m³
Paris,FR,2019-06-16 13:00:00+00:00,FR04014,no2,8.7,µg/m³
